Symbol,Price,Max Profit,Max Profit%,Max Loss,BE+,BE-,Avg IV,Probability,Exp Date,Leg1 Strike,Leg1 Ask,Leg2 Strike,Leg2 Bid,Leg3 Strike,Leg3 Bid,Leg4 Strike,Leg4 Ask,Exp Type,ExpectedValue,KellyCriterion
AMD,94.88,1.51,+43.27%,3.49,100.51,92.49,52.31%,0.586,2023-05-12,89.00P,0.19,94.00P,1.29,99.00C,0.56,104.00C,0.15,weekly,-0.5600000000000003,-0.37086092715231805
GOOGL,108.11,1.99,+49.63%,4.01,115.99,106.01,31.00%,0.5720000000000001,2023-05-19,102.00P,0.44,108.00P,2.07,114.00C,0.44,120.00C,0.08,monthly,-0.5779999999999994,-0.2904522613065324
AMD,94.88,1.36,+37.36%,3.64,99.36,91.64,52.31%,0.6,2023-05-12,88.00P,0.13,93.00P,0.92,98.00C,0.76,103.00C,0.19,weekly,-0.6400000000000001,-0.4705882352941177
AMD,94.88,1.32,+35.87%,3.68,98.32,90.68,52.31%,0.605,2023-05-12,87.00P,0.09,92.00P,0.63,97.00C,1.03,102.00C,0.25,weekly,-0.6550000000000002,-0.4962121212121213
SNOW,161.78,4.19,+72.12%,5.81,174.19,155.81,47.36%,0.515,2023-05-19,150.00P,1.3,160.00P,4.0,170.00C,2.07,180.00C,0.58,monthly,-0.6599999999999993,-0.15751789976133632
NFLX,332.78,3.61,+56.49%,6.39,341.11,323.89,35.87%,0.5710000000000001,2023-05-12,317.50P,0.51,327.50P,2.1,337.50C,2.53,347.50C,0.51,weekly,-0.6799999999999993,-0.18836565096952884
NFLX,332.78,3.77,+60.51%,6.23,346.27,328.73,35.87%,0.5479999999999999,2023-05-12,322.50P,1.07,332.50P,3.9,342.50C,1.16,352.50C,0.22,weekly,-0.7500000000000009,-0.1989389920424406
AMD,94.88,1.49,+33.04%,4.51,101.49,92.51,52.31%,0.617,2023-05-12,88.00P,0.13,94.00P,1.29,100.00C,0.42,106.00C,0.09,weekly,-0.808,-0.5422818791946309
NFLX,332.78,3.54,+54.80%,6.46,343.54,326.46,35.87%,0.564,2023-05-12,320.00P,0.74,330.00P,2.9,340.00C,1.72,350.00C,0.34,weekly,-0.8200000000000005,-0.2316384180790962
AMD,94.88,2.46,+44.40%,5.54,104.46,91.54,44.95%,0.5820000000000001,2023-05-19,86.00P,0.36,94.00P,2.25,102.00C,0.75,110.00C,0.18,monthly,-0.8839999999999997,-0.3593495934959347
AMD,94.88,1.27,+26.85%,4.73,100.27,91.73,52.31%,0.635,2023-05-12,87.00P,0.09,93.00P,0.92,99.00C,0.56,105.00C,0.12,weekly,-0.92,-0.7244094488188977
AMD,94.88,1.45,+26.13%,5.55,102.45,92.55,52.31%,0.637,2023-05-12,87.00P,0.09,94.00P,1.29,101.00C,0.31,108.00C,0.06,weekly,-1.0910000000000002,-0.7524137931034482
AMD,94.88,2.06,+29.68%,6.94,103.06,89.94,44.95%,0.628,2023-05-19,83.00P,0.17,92.00P,1.49,101.00C,0.92,110.00C,0.18,monthly,-1.288,-0.625242718446602
CRM,201.32,3.03,+43.47%,6.97,213.03,196.97,28.44%,0.568,2023-05-19,190.00P,0.72,200.00P,3.0,210.00C,0.98,220.00C,0.23,monthly,-1.2900000000000007,-0.42574257425742595
NFLX,332.78,3.8,+43.68%,8.7,348.8,328.7,35.87%,0.59,2023-05-12,320.00P,0.74,332.50P,3.9,345.00C,0.75,357.50C,0.11,weekly,-1.3250000000000002,-0.3486842105263158
NFLX,332.78,3.39,+37.21%,9.11,345.89,326.61,35.87%,0.609,2023-05-12,317.50P,0.51,330.00P,2.9,342.50C,1.16,355.00C,0.16,weekly,-1.4975,-0.44174041297935107
NFLX,332.78,3.25,+35.14%,9.25,343.25,324.25,35.87%,0.619,2023-05-12,315.00P,0.35,327.50P,2.1,340.00C,1.72,352.50C,0.22,weekly,-1.5124999999999995,-0.46538461538461534
AMD,94.88,2.15,+24.29%,8.85,106.15,90.85,44.95%,0.649,2023-05-19,82.00P,0.13,93.00P,1.85,104.00C,0.51,115.00C,0.08,monthly,-1.7109999999999994,-0.7958139534883719
NFLX,332.78,3.21,+27.23%,11.79,348.21,326.79,35.87%,0.643,2023-05-12,315.00P,0.35,330.00P,2.9,345.00C,0.75,360.00C,0.09,weekly,-2.145,-0.6682242990654206
NFLX,332.78,5.76,+40.45%,14.24,355.76,324.24,32.10%,0.591,2023-05-19,310.00P,1.09,330.00P,5.45,350.00C,1.64,370.00C,0.24,monthly,-2.4200000000000013,-0.42013888888888906
Downloaded from Barchart.com as of 05-09-2023 11:32am CDT,,,,,,,,,,,,,,,,,,,,
