Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
SBUX,105.7,0.24,+31.58%,0.76,106.24,65.9%,2023-05-19,106,0.35,107,0.11,monthly
GOOG,123.47,0.96,+31.58%,3.04,124.96,62.1%,2023-05-26,124,1.37,128,0.41,weekly
AFRM,13.68,0.12,+31.58%,0.38,14.62,68.9%,2023-05-26,14.5,0.42,15,0.3,weekly
FL,40.95,0.6,+31.58%,1.9,43.1,68.1%,2023-05-19,42.5,1,45,0.4,monthly
ENPH,162.03,1.2,+31.58%,3.8,163.7,63.1%,2023-05-19,162.5,1.52,167.5,0.32,monthly
COIN,59.39,0.24,+31.58%,0.76,60.24,60.9%,2023-05-19,60,0.68,61,0.44,monthly
RIOT,10.72,0.24,+31.58%,0.76,11.24,62.3%,2023-05-26,11,0.52,12,0.28,weekly
CVNA,11.65,0.12,+31.58%,0.38,12.62,65.8%,2023-05-26,12.5,0.57,13,0.45,weekly
XOM,104.96,0.24,+31.58%,0.76,107.24,72.0%,2023-05-26,107,0.68,108,0.44,weekly
FCX,35.35,0.12,+31.58%,0.38,35.62,62.4%,2023-05-19,35.5,0.23,36,0.11,monthly
CRM,211.79,0.6,+31.58%,1.9,213.1,65.2%,2023-05-19,212.5,0.94,215,0.34,monthly
DIS,92.96,0.48,+31.58%,1.52,94.48,68.1%,2023-05-26,94,0.78,96,0.3,weekly
C,45.99,0.12,+31.58%,0.38,47.12,71.3%,2023-05-26,47,0.35,47.5,0.23,weekly
XPEV,9.15,0.12,+31.58%,0.38,9.62,65.0%,2023-05-26,9.5,0.3,10,0.18,weekly
U,29.93,0.12,+31.58%,0.38,31.12,67.4%,2023-05-26,31,0.53,31.5,0.41,weekly
RIVN,13.17,0.12,+31.58%,0.38,13.62,63.5%,2023-05-26,13.5,0.33,14,0.21,weekly
