Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,Exp Type,ExpectedValue,KellyCriterion
AMZN,102.74,1.99,+49.63%,4.01,105.99,0.627,2023-04-28,104.0,3.4,110.0,1.41,weekly,-24.80000000000001,-0.12462311557788945
TSLA,187.04,1.1,+49.33%,2.23,192.77,0.626,2023-04-21,191.67,4.9,195.0,3.8,monthly,-14.541999999999987,-0.13219999999999993
LVS,58.17,0.33,+49.25%,0.67,59.33,0.624,2023-04-21,59.0,1.08,60.0,0.75,monthly,-4.600000000000001,-0.13939393939393938
GE,96.77,0.33,+49.25%,0.67,97.33,0.6,2023-04-21,97.0,0.75,98.0,0.42,monthly,-7.0,-0.21212121212121218
AMZN,102.74,0.66,+49.25%,1.34,104.66,0.5760000000000001,2023-04-28,104.0,3.4,106.0,2.74,weekly,-18.799999999999983,-0.28484848484848463
NVDA,270.02,1.65,+49.25%,3.35,276.65,0.64,2023-04-28,275.0,5.15,280.0,3.5,weekly,-14.999999999999986,-0.09090909090909095
CLF,17.26,0.33,+49.25%,0.67,17.83,0.62,2023-04-28,17.5,0.62,18.5,0.29,weekly,-5.0,-0.15151515151515152
COIN,67.72,0.33,+49.25%,0.67,69.33,0.595,2023-04-21,69.0,2.01,70.0,1.68,monthly,-7.5000000000000036,-0.22727272727272738
GOOGL,105.97,2.63,+48.98%,5.37,108.63,0.619,2023-04-28,106.0,3.5,114.0,0.87,weekly,-41.80000000000001,-0.1589353612167301
ENPH,224.92,3.28,+48.81%,6.72,228.28,0.598,2023-04-21,225.0,5.3,235.0,2.02,monthly,-74.0,-0.2256097560975611
TSLA,187.04,4.1,+48.81%,8.4,194.1,0.623,2023-04-28,190.0,7.5,202.5,3.4,weekly,-61.25000000000006,-0.14939024390243907
NFLX,332.72,4.9,+48.51%,10.1,344.9,0.625,2023-04-21,340.0,11.65,355.0,6.75,monthly,-72.49999999999994,-0.14795918367346927
DKNG,19.49,0.49,+48.51%,1.01,19.99,0.61,2023-04-28,19.5,0.69,21.0,0.2,weekly,-9.5,-0.19387755102040824
