Symbol,Price,"Max Profit","Max Profit%","Max Loss",BE,Probability,"Exp Date","Leg1 Strike","Leg1 Bid","Leg2 Strike","Leg2 Ask","Exp Type"
NVDA,418.93,3.39,+12.74%,26.61,411.61,63.3%,2023-06-16,415,3.6,385,0.21,monthly
LI,33.6,0.22,+12.36%,1.78,32.78,68.8%,2023-06-16,33,0.28,31,0.06,monthly
NKE,112.36,0.22,+12.36%,1.78,108.78,76.8%,2023-06-23,109,0.48,107,0.26,weekly
NKE,112.36,0.53,+11.86%,4.47,109.47,71.5%,2023-06-23,110,0.68,105,0.15,weekly
NVDA,418.93,3.43,+11.80%,29.07,411.57,63.4%,2023-06-16,415,3.6,382.5,0.17,monthly
TGT,132.77,0.63,+11.73%,5.37,130.37,72.0%,2023-06-16,131,0.72,125,0.09,monthly
NVDA,418.93,1.83,+11.68%,15.67,408.17,71.0%,2023-06-16,410,2.21,392.5,0.38,monthly
NFLX,437.87,0.51,+11.36%,4.49,424.49,80.5%,2023-06-16,425,1.13,420,0.62,monthly
NVDA,418.93,0.51,+11.36%,4.49,404.49,78.4%,2023-06-16,405,1.31,400,0.8,monthly
MANU,22.98,0.2,+11.11%,1.8,21.8,65.1%,2023-06-16,22,0.55,20,0.35,monthly
AI,41.54,0.1,+11.11%,0.9,38.9,74.3%,2023-06-16,39,0.5,38,0.4,monthly
COIN,52.81,0.1,+11.11%,0.9,49.9,71.2%,2023-06-16,50,0.51,49,0.41,monthly
AI,41.54,0.05,+11.11%,0.45,39.45,69.5%,2023-06-16,39.5,0.6,39,0.55,monthly
NVDA,418.93,3.45,+10.94%,31.55,411.55,63.4%,2023-06-16,415,3.6,380,0.15,monthly
NKE,112.36,0.29,+10.70%,2.71,108.71,77.3%,2023-06-23,109,0.48,106,0.19,weekly
NKE,112.36,0.57,+10.50%,5.43,109.43,71.8%,2023-06-23,110,0.68,104,0.11,weekly
NVDA,418.93,1.9,+10.50%,18.1,408.1,71.2%,2023-06-16,410,2.21,390,0.31,monthly
NVDA,418.93,3.47,+10.20%,34.03,411.53,63.5%,2023-06-16,415,3.6,377.5,0.13,monthly
NVDA,418.93,0.23,+10.13%,2.27,387.27,84.6%,2023-06-23,387.5,1.72,385,1.49,weekly
NVDA,418.93,0.69,+10.13%,6.81,404.31,78.7%,2023-06-16,405,1.31,397.5,0.62,monthly
NVDA,418.93,3.49,+9.56%,36.51,411.51,63.5%,2023-06-16,415,3.6,375,0.11,monthly
NVDA,418.93,1.96,+9.54%,20.54,408.04,71.3%,2023-06-16,410,2.21,387.5,0.25,monthly
UPS,174.59,0.21,+9.17%,2.29,172.29,74.2%,2023-06-16,172.5,0.39,170,0.18,monthly
NVDA,418.93,0.83,+9.05%,9.17,404.17,78.9%,2023-06-16,405,1.31,395,0.48,monthly
NKE,112.36,0.33,+8.99%,3.67,108.67,77.6%,2023-06-23,109,0.48,105,0.15,weekly
NVDA,418.93,3.5,+8.97%,39,411.5,63.5%,2023-06-16,415,3.6,372.5,0.1,monthly
TSLA,252.24,0.2,+8.70%,2.3,237.3,86.1%,2023-06-16,237.5,0.75,235,0.55,monthly
NVDA,418.93,2,+8.70%,23,408,71.4%,2023-06-16,410,2.21,385,0.21,monthly
NKE,112.36,0.08,+8.70%,0.92,109.92,76.7%,2023-06-16,110,0.25,109,0.17,monthly
ORCL,121.33,0.08,+8.70%,0.92,118.92,76.3%,2023-06-16,119,0.28,118,0.2,monthly
NVDA,418.93,3.52,+8.49%,41.48,411.48,63.6%,2023-06-16,415,3.6,370,0.08,monthly
NKE,112.36,0.15,+8.11%,1.85,109.85,77.5%,2023-06-16,110,0.25,108,0.1,monthly
NVDA,418.93,0.93,+8.04%,11.57,404.07,79.1%,2023-06-16,405,1.31,392.5,0.38,monthly
NVDA,418.93,3.53,+8.03%,43.97,411.47,63.6%,2023-06-16,415,3.6,367.5,0.07,monthly
NVDA,418.93,2.04,+8.01%,25.46,407.96,71.5%,2023-06-16,410,2.21,382.5,0.17,monthly
NKE,112.36,0.37,+7.99%,4.63,108.63,77.9%,2023-06-23,109,0.48,104,0.11,weekly
LULU,375.97,0.72,+7.76%,9.28,369.28,72.9%,2023-06-16,370,0.95,360,0.23,monthly
NFLX,437.87,0.18,+7.76%,2.32,422.32,84.2%,2023-06-16,422.5,0.8,420,0.62,monthly
NVDA,418.93,3.53,+7.60%,46.47,411.47,63.6%,2023-06-16,415,3.6,365,0.07,monthly
NVDA,418.93,2.06,+7.37%,27.94,407.94,71.5%,2023-06-16,410,2.21,380,0.15,monthly
NVDA,418.93,0.17,+7.30%,2.33,382.33,88.4%,2023-06-23,382.5,1.24,380,1.07,weekly
NVDA,418.93,1,+7.14%,14,404,79.3%,2023-06-16,405,1.31,390,0.31,monthly
NVDA,418.93,2.08,+6.84%,30.42,407.92,71.5%,2023-06-16,410,2.21,377.5,0.13,monthly
NVDA,418.93,1.06,+6.45%,16.44,403.94,79.4%,2023-06-16,405,1.31,387.5,0.25,monthly
NVDA,418.93,0.3,+6.38%,4.7,399.7,86.2%,2023-06-16,400,0.78,395,0.48,monthly
NKE,112.36,0.18,+6.38%,2.82,109.82,77.8%,2023-06-16,110,0.25,107,0.07,monthly
NVDA,418.93,2.1,+6.38%,32.9,407.9,71.6%,2023-06-16,410,2.21,375,0.11,monthly
TGT,132.77,0.06,+6.38%,0.94,125.94,85.9%,2023-06-23,126,0.47,125,0.41,weekly
NVDA,418.93,1.1,+5.82%,18.9,403.9,79.4%,2023-06-16,405,1.31,385,0.21,monthly
NVDA,418.93,0.4,+5.63%,7.1,399.6,86.3%,2023-06-16,400,0.78,392.5,0.38,monthly
NVDA,418.93,1.14,+5.34%,21.36,403.86,79.5%,2023-06-16,405,1.31,382.5,0.17,monthly
MANU,22.98,0.05,+5.26%,0.95,21.95,63.2%,2023-06-16,22,0.55,21,0.5,monthly
NKE,112.36,0.05,+5.26%,0.95,106.95,88.1%,2023-06-23,107,0.24,106,0.19,weekly
BUD,56.47,0.05,+5.26%,0.95,55.95,68.1%,2023-06-16,56,0.15,55,0.1,monthly
NVDA,418.93,0.12,+5.04%,2.38,397.38,89.2%,2023-06-16,397.5,0.6,395,0.48,monthly
NVDA,418.93,0.47,+4.93%,9.53,399.53,86.4%,2023-06-16,400,0.78,390,0.31,monthly
NVDA,418.93,1.16,+4.87%,23.84,403.84,79.5%,2023-06-16,405,1.31,380,0.15,monthly
NVDA,418.93,0.22,+4.60%,4.78,397.28,89.3%,2023-06-16,397.5,0.6,392.5,0.38,monthly
NVDA,418.93,1.18,+4.48%,26.32,403.82,79.6%,2023-06-16,405,1.31,377.5,0.13,monthly
NVDA,418.93,0.53,+4.43%,11.97,399.47,86.5%,2023-06-16,400,0.78,387.5,0.25,monthly
JD,38.37,0.02,+4.17%,0.48,36.98,82.3%,2023-06-16,37,0.1,36.5,0.08,monthly
NKE,112.36,0.04,+4.17%,0.96,108.96,86.3%,2023-06-16,109,0.14,108,0.1,monthly
NVDA,418.93,1.2,+4.17%,28.8,403.8,79.6%,2023-06-16,405,1.31,375,0.11,monthly
NVDA,418.93,0.29,+4.02%,7.21,397.21,89.4%,2023-06-16,397.5,0.6,390,0.31,monthly
NVDA,418.93,0.57,+3.95%,14.43,399.43,86.6%,2023-06-16,400,0.78,385,0.21,monthly
CAT,242.01,0.09,+3.73%,2.41,234.91,89.0%,2023-06-16,235,0.4,232.5,0.31,monthly
NVDA,418.93,0.35,+3.63%,9.65,397.15,89.5%,2023-06-16,397.5,0.6,387.5,0.25,monthly
NKE,112.36,0.07,+3.63%,1.93,108.93,86.5%,2023-06-16,109,0.14,107,0.07,monthly
NVDA,418.93,0.61,+3.61%,16.89,399.39,86.6%,2023-06-16,400,0.78,382.5,0.17,monthly
