Symbol,Price,Max Profit,Max Profit%,Max Loss,BE,Probability,Exp Date,Leg1 Strike,Leg1 Bid,Leg2 Strike,Leg2 Ask,ExpectedValue,KellyCriterion
AMD,123.43,1.05,+21.21%,4.95,120.95,0.6829999999999999,2023-06-09,122.0,1.19,116.0,0.14,-0.8520000000000003,-0.8114285714285718
AMD,123.43,0.76,+14.50%,5.24,120.24,0.731,2023-06-09,121.0,0.86,115.0,0.1,-0.8540000000000002,-1.123684210526316
AMD,123.43,1.46,+26.35%,5.54,121.54,0.642,2023-06-09,123.0,1.6,116.0,0.14,-1.0459999999999998,-0.7164383561643836
AMD,123.43,0.78,+12.54%,6.22,120.22,0.732,2023-06-09,121.0,0.86,114.0,0.08,-1.096,-1.4051282051282052
AMD,123.43,1.09,+18.44%,5.91,120.91,0.6859999999999999,2023-06-09,122.0,1.19,115.0,0.1,-1.1080000000000003,-1.01651376146789
TSLA,220.42,3.39,+37.21%,9.11,216.61,0.639,2023-06-09,220.0,3.95,207.5,0.56,-1.1224999999999996,-0.3311209439528023
ABNB,118.18,1.51,+23.27%,6.49,116.49,0.6509999999999999,2023-06-09,118.0,1.59,110.0,0.08,-1.282000000000001,-0.8490066225165569
AMD,123.43,1.5,+23.08%,6.5,121.5,0.645,2023-06-09,123.0,1.6,115.0,0.1,-1.34,-0.8933333333333332
AMD,123.43,1.11,+16.11%,6.89,120.89,0.688,2023-06-09,122.0,1.19,114.0,0.08,-1.3860000000000006,-1.2486486486486486
AMD,123.43,1.52,+20.32%,7.48,121.48,0.6459999999999999,2023-06-09,123.0,1.6,114.0,0.08,-1.666000000000001,-1.096052631578948
AMD,123.43,1.13,+14.36%,7.87,120.87,0.6890000000000001,2023-06-09,122.0,1.19,113.0,0.06,-1.6689999999999998,-1.4769911504424775
AMD,123.43,1.54,+18.20%,8.46,121.46,0.647,2023-06-09,123.0,1.6,113.0,0.06,-1.99,-1.2922077922077924
Downloaded from Barchart.com as of 06-06-2023 02:34pm CDT,,,,,,,,,,,,,
